"Fascinating view into the past: This book is fascinating for anyone at all interested in New Zealand history or a general account of life in the past. It is surprisingly well written for what is just a series of letters, and gives a real insight into life as a pioneer in the 1860s, with all its highs and lows. You'll laugh at the author's first attempts at baking, and cry with her as she digs dead lambs from a snowdrift. It's a wonderful book and I heartily recommend it.",__label__2
"A very amusing look at the past: I was hoping for far more details about working and handling sheep in the ways the New Zealander's did in the past when I got this book. Unfortunately, this is a collection of letters from a 'high society' girl that was packed up and moved to the NZ outback with her fiancee. Granted, it's amusing and reasonably interesting to read how she sees the world, as well as a bit insightful into how at least one family thought of their slaves and house maids during a time fortunately long behind us.",__label__2
"Didn't like...: I didn't like this version of the song, ""when you believe,"" even though it was the original. I favored the orchestral rendition of this song which was beautifully arranged by Hans Zimmer.",__label__1
"Two Divas,that should shut up!: Here are two songbirds who are trying to be the best singers of all time. I hate this diva routine! I admit they do have maybe one catchy tune.But,this song is so irritating.Two divas trying to hit the highest notes in one song!I give Whitney one star for her almost Josephine Baker look at the Oscars,you looked fine! And her Children song from the 80's. And Mariah for her badly premeditated sexy image and her undying effort to be the best,major ego! Two divas who should SHUT UP!",__label__1
"Movie Version is Much better!: The movie version of this song is much better. The Mariah/Whitney version is simply just a screaming contest to see who can sing better. I admit the song is beautiful and touching, but it would have been better if one of them sung it instead of it being a competition. Buy the soundtrack and listen to the movie version. It showcases the song in a much better light.",__label__1
THE SONG IS SOULFUL: U ARE ONE OF THE BEST SINGERS AND IN THIS SONG THE TWO OF U SOUND ABSOLUTELY BRILLIANT. WHEN ARE U COMING TO INDIA,__label__2
"Wuzzup, Mariah!?! I'm Kaligirl from Seoul!: ""When You Believe"" is an awesome song. To me Mariah's songs hit me like nukes! The awesome duet performed with Whitney Houston I'll never get sick of. This song(to me) is combined with spiritual, and also relates to the racism. I personally recommend this song to both Kids and Adults!",__label__2
"New Age?: The song is sung beautifully, but is it promoting New Age? Should we believe in ourselves or in God? I think the focus should be more on believing in God and not just in ourselves.",__label__1
"""When you believe"": This song, sung by Whitney Houston and Mariah Carey is GREAT! Sometimes, it leaves tears in my eyes. But, the song has some contrasts. Whitney Houston has one of the most beautiful voices in the universe. So when she sings the first verse and chorus, and then Mariah Carey starts to sing the second verse... it's a HUGE CONTRAST! Mariah screeches... If Celine Dion, who has the most wonderfully beautiful voice in the universe, had sung it with Whitney Houston, the song would've been irresistible. It would have been so unexplainable beautiful. Anyway, great job, Mariah and Whitney!",__label__2
"I really like this music because of the words and the story: The singers are very good, both of them has a very nice voice and they are talented singer. I enjoy listening this music very much",__label__2
